epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.693,0.98015,1.07572,1.01534,0.65231,0.62939,0.66128,0.48509,0.93071,0.6732,0.95149,0.00332955,0.00332955,0.00332955
2,841.515,0.9367,0.7263,0.97459,0.65372,0.62406,0.65696,0.47505,0.95882,0.71411,0.96664,0.00665628,0.00665628,0.00665628
3,1261.62,0.97884,0.77832,1.00367,0.55456,0.55495,0.5562,0.39312,0.99734,0.80841,1.00212,0.00997642,0.00997642,0.00997642
4,1681.91,0.98099,0.76766,1.01048,0.64607,0.61753,0.64631,0.45999,0.96255,0.71733,0.97978,0.0099703,0.0099703,0.0099703
5,2101.58,0.94862,0.70362,0.99651,0.69303,0.6813,0.70962,0.52044,0.92623,0.62211,0.96856,0.0099604,0.0099604,0.0099604
6,2521.19,0.93018,0.66986,0.99023,0.71981,0.69918,0.73919,0.54404,0.91543,0.59435,0.96688,0.0099505,0.0099505,0.0099505
7,2941.19,0.9177,0.64866,0.98405,0.73161,0.71438,0.75713,0.56194,0.89865,0.57427,0.95605,0.0099406,0.0099406,0.0099406
8,3360.81,0.91082,0.63255,0.97934,0.75264,0.71909,0.77082,0.57553,0.89179,0.55503,0.9503,0.0099307,0.0099307,0.0099307
9,3780.72,0.90388,0.62168,0.97679,0.75012,0.72826,0.77747,0.58463,0.88407,0.54141,0.94664,0.0099208,0.0099208,0.0099208
10,4200.17,0.90057,0.61312,0.97299,0.75667,0.7464,0.78875,0.59224,0.8804,0.53209,0.94413,0.0099109,0.0099109,0.0099109
11,4619.97,0.89698,0.60622,0.97204,0.77056,0.74797,0.79556,0.60063,0.87571,0.52343,0.94223,0.009901,0.009901,0.009901
12,5039.6,0.89365,0.60133,0.97082,0.76747,0.75545,0.80226,0.60636,0.87229,0.51605,0.93993,0.0098911,0.0098911,0.0098911
13,5459.06,0.8917,0.59597,0.96997,0.78335,0.75146,0.80761,0.61199,0.87101,0.51018,0.93969,0.0098812,0.0098812,0.0098812
14,5878.76,0.88993,0.59251,0.9697,0.7656,0.76704,0.81036,0.61467,0.86926,0.50595,0.93944,0.0098713,0.0098713,0.0098713
15,6298.43,0.88784,0.58899,0.9682,0.77412,0.76451,0.81411,0.6187,0.8671,0.50206,0.9374,0.0098614,0.0098614,0.0098614
16,6718.16,0.88603,0.58651,0.96661,0.77498,0.76769,0.81436,0.61947,0.86647,0.49854,0.93732,0.0098515,0.0098515,0.0098515
17,7137.6,0.88482,0.58481,0.96432,0.77542,0.7738,0.81598,0.62124,0.86514,0.4971,0.93596,0.0098416,0.0098416,0.0098416
18,7556.96,0.88374,0.58258,0.96558,0.78579,0.7638,0.8161,0.62238,0.86396,0.49518,0.93554,0.0098317,0.0098317,0.0098317
19,7976.67,0.88283,0.57919,0.96307,0.78335,0.77041,0.81707,0.62357,0.86361,0.49389,0.93517,0.0098218,0.0098218,0.0098218
20,8396.09,0.88088,0.57734,0.96462,0.77883,0.77614,0.81839,0.62409,0.8633,0.49284,0.935,0.0098119,0.0098119,0.0098119
21,8815.35,0.88121,0.57704,0.9638,0.77901,0.77871,0.8188,0.62452,0.86298,0.49209,0.93485,0.009802,0.009802,0.009802
22,9235.55,0.8805,0.57467,0.96388,0.77461,0.78283,0.81954,0.62551,0.86278,0.49128,0.93469,0.0097921,0.0097921,0.0097921
23,9655.2,0.87961,0.57315,0.96311,0.77001,0.78407,0.81913,0.62588,0.86252,0.49074,0.93462,0.0097822,0.0097822,0.0097822
24,10074.9,0.87927,0.57312,0.96407,0.77314,0.78246,0.8195,0.62637,0.86236,0.49029,0.93459,0.0097723,0.0097723,0.0097723
25,10494.9,0.87789,0.57119,0.96114,0.76976,0.78456,0.8198,0.62661,0.8621,0.48975,0.93439,0.0097624,0.0097624,0.0097624
26,10914.4,0.87747,0.57088,0.96164,0.78388,0.77755,0.82033,0.62691,0.86187,0.48905,0.93418,0.0097525,0.0097525,0.0097525
27,11334,0.87893,0.57153,0.96377,0.78431,0.77946,0.8205,0.62704,0.86179,0.48878,0.93419,0.0097426,0.0097426,0.0097426
28,11754.3,0.87647,0.56903,0.96125,0.78563,0.77864,0.82078,0.62734,0.86164,0.48865,0.93418,0.0097327,0.0097327,0.0097327
29,12174.2,0.87564,0.56745,0.96058,0.78904,0.77644,0.82156,0.62752,0.8617,0.48802,0.93417,0.0097228,0.0097228,0.0097228
30,12594,0.87708,0.56752,0.9632,0.78634,0.77519,0.82185,0.62879,0.86151,0.48746,0.93415,0.0097129,0.0097129,0.0097129
31,13013.6,0.87684,0.56558,0.96122,0.78799,0.77499,0.8223,0.62906,0.8613,0.48711,0.93404,0.009703,0.009703,0.009703
32,13433.5,0.87512,0.56509,0.95979,0.78233,0.77974,0.82295,0.62954,0.86123,0.48663,0.93396,0.0096931,0.0096931,0.0096931
33,13853.2,0.87523,0.56572,0.96071,0.7831,0.78066,0.82321,0.6297,0.86122,0.48637,0.93386,0.0096832,0.0096832,0.0096832
34,14272.7,0.87531,0.56479,0.96384,0.78831,0.77572,0.82323,0.62967,0.8611,0.48642,0.93389,0.0096733,0.0096733,0.0096733
35,14692,0.87499,0.56478,0.96313,0.78682,0.77776,0.82355,0.62941,0.86108,0.48626,0.93403,0.0096634,0.0096634,0.0096634
36,15111.1,0.87571,0.5645,0.96123,0.79308,0.77211,0.82278,0.62954,0.8611,0.48592,0.934,0.0096535,0.0096535,0.0096535
37,15530.5,0.87374,0.56292,0.96,0.7869,0.77747,0.82334,0.62976,0.86094,0.48568,0.93387,0.0096436,0.0096436,0.0096436
38,15950.3,0.87391,0.56229,0.95984,0.78218,0.78173,0.82341,0.63028,0.86082,0.48525,0.93375,0.0096337,0.0096337,0.0096337
39,16370,0.87475,0.56233,0.96054,0.78495,0.78021,0.82407,0.63059,0.86072,0.48497,0.93369,0.0096238,0.0096238,0.0096238
40,16789.2,0.87406,0.56329,0.96018,0.7845,0.78025,0.82407,0.63099,0.86069,0.48491,0.93371,0.0096139,0.0096139,0.0096139
41,17208.6,0.87254,0.56144,0.9594,0.78967,0.77856,0.82394,0.63137,0.8608,0.48507,0.93359,0.009604,0.009604,0.009604
